char	mandarin	mandarin_initial	mandarin_final	mandarin_tone	cantonese	cantonese_initial	cantonese_final	cantonese_tone
蟙	zhí	zh	i	2	zik1	z	ik	1
蟚	péng	p	eng	2	paang4	p	aang	4
蟛	péng	p	eng	2	paang4	p	aang	4
蟜	jiǎo	j	iao	3	giu2	g	iu	2
蟝	qú	q	u	2	keoi4	k	eoi	4
蟞	biē	b	ie	1	bit3	b	it	3
蟟	liáo	l	iao	2	liu4	l	iu	4
蟠	pán	p	an	2	pun4	p	un	4
蟡	guǐ	g	ui	3	wai1	w	ai	1
蟢	xǐ	x	i	3	hei2	h	ei	2
蟣	jǐ	j	i	3	gei2	g	ei	2
蟤	zhuān	zh	uan	1	zyun1	z	yun	1
蟥	huáng	h	uang	2	wong4	w	ong	4
蟦	féi	f	ei	2	fei4	f	ei	4
蟧	láo	l	ao	2	lou4	l	ou	4
蟨	jué	j	ue	2	kyut3	k	yut	3
蟩	jué	j	ue	2	kyut3	k	yut	3
蟪	huì	h	ui	4	wai6	w	ai	6
蟫	yín	y	in	2	taam4	t	aam	4
蟬	chán	ch	an	2	sim4	s	im	4
蟭	jiāo	j	iao	1	ziu1	z	iu	1
蟮	shàn	sh	an	4	sin6	s	in	6
蟯	náo	n	ao	2	jiu4	j	iu	4
蟰	xiāo	x	iao	1	siu1	s	iu	1
蟱	wú	w	u	2	mou4	m	ou	4
蟲	chóng	ch	ong	2	cung4	c	ung	4
蟳	xún	x	un	2	cing4	c	ing	4
蟴	sī	s	i	1	si1	s	i	1
蟵	chú	ch	u	2	cyu4	c	yu	4
蟶	chēng	ch	eng	1	cing1	c	ing	1
蟷	dāng	d	ang	1	dong1	d	ong	1
蟸	lǐ	l	i	3	lai5	l	ai	5
蟹	xiè	x	ie	4	haai5	h	aai	5
蟺	shàn	sh	an	4	sin6	s	in	6
蟻	yǐ	y	i	3	ngai5	ng	ai	5
蟼	jǐng	j	ing	3	ging2	g	ing	2
蟽	dá	d	a	2	daat6	d	aat	6
蟾	chán	ch	an	2	sim4	s	im	4
蟿	qì	q	i	4	kai3	k	ai	3
蠀	cī	c	i	1	ci1	c	i	1
蠁	xiǎng	x	iang	3	hoeng2	h	oeng	2
蠂	shè	sh	e	4	sip3	s	ip	3
蠃	luǒ	l	uo	3	lo2	l	o	2
蠄	qín	q	in	2	kam4	k	am	4
蠅	yíng	y	ing	2	jing4	j	ing	4
蠆	chài	ch	ai	4	caai3	c	aai	3
蠇	lì	l	i	4	lai6	l	ai	6
蠈	zéi	z	ei	2	caak3	c	aak	3
蠉	xuān	x	uan	1	hyun1	h	yun	1
蠊	lián	l	ian	2	lim4	l	im	4
蠋	zhú	zh	u	2	zuk1	z	uk	1
蠌	zé	z	e	2	zaak6	z	aak	6
蠍	xiē	x	ie	1	hit3	h	it	3
蠎	mǎng	m	ang	3	mong5	m	ong	5
蠏	xiè	x	ie	4	haai5	h	aai	5
蠐	qí	q	i	2	cai4	c	ai	4
蠑	róng	r	ong	2	wing4	w	ing	4
蠒	jiǎn	j	ian	3	gaan2	g	aan	2
蠓	měng	m	eng	3	mung5	m	ung	5
蠔	háo	h	ao	2	hou4	h	ou	4
蠕	rú	r	u	2	jyu4	j	yu	4
蠖	huò	h	uo	4	wok6	w	ok	6
蠗	zhuó	zh	uo	2	zok6	z	ok	6
蠘	jié	j	ie	2	zit6	z	it	6
蠙	pín	p	in	2	pan4	p	an	4
蠚	hē	h	e	1	kok3	k	ok	3
蠛	miè	m	ie	4	mit6	m	it	6
蠜	fán	f	an	2	faan4	f	aan	4
蠝	lěi	l	ei	3	leoi5	l	eoi	5
蠞	jié	j	ie	2	zit6	z	it	6
蠟	là	l	a	4	laap6	l	aap	6
蠠	mǐn	m	in	3	man5	m	an	5
蠡	lí	l	i	2	lai5	l	ai	5
蠢	chǔn	ch	un	3	ceon2	c	eon	2
蠣	lì	l	i	4	lai6	l	ai	6
蠤	qiū	q	iu	1	cau1	c	au	1
蠥	niè	n	ie	4	jit6	j	it	6
蠦	lú	l	u	2	lou4	l	ou	4
蠧	dù	d	u	4	dou3	d	ou	3
蠨	xiāo	x	iao	1	siu1	s	iu	1
蠩	zhū	zh	u	1	zyu1	z	yu	1
蠪	lóng	l	ong	2	lung4	l	ung	4
蠫	lí	l	i	2	lai5	l	ai	5
蠬	lóng	l	ong	2	lung4	l	ung	4
蠭	fēng	f	eng	1	fung1	f	ung	1
蠮	yē	y	e	1	jit3	j	it	3
蠯	pí	p	i	2	pei4	p	ei	4
蠰	náng	n	ang	2	joeng6	j	oeng	6
蠱	gǔ	g	u	3	gu2	g	u	2
蠲	juān	j	uan	1	gyun1	g	yun	1
蠳	yīng	y	ing	1	ang1		ang	1
蠴	shǔ	sh	u	3	syu4	s	yu	4
蠵	xī	x	i	1	kwai4	kw	ai	4
蠶	cán	c	an	2	caam4	c	aam	4
蠷	qú	q	u	2	keoi4	k	eoi	4
蠸	quán	q	uan	2	kyun4	k	yun	4
蠹	dù	d	u	4	dou3	d	ou	3
蠺	cán	c	an	2	caam4	c	aam	4
蠻	mán	m	an	2	maan4	m	aan	4
蠼	qú	q	u	2	keoi4	k	eoi	4
蠽	jié	j	ie	2	zit3	z	it	3
蠾	zhú	zh	u	2	zuk1	z	uk	1
蠿	zhuō	zh	uo	1	zyut3	z	yut	3
血	xuè	x	ue	4	hyut3	h	yut	3
衁	huāng	h	uang	1	fong1	f	ong	1
衂	nǜ	n	u	4	nuk6	n	uk	6
衃	pēi	p	ei	1	pui1	p	ui	1
衄	nǜ	n	u	4	nuk6	n	uk	6
衅	xìn	x	in	4	jan6	j	an	6
衆	zhòng	zh	ong	4	zung3	z	ung	3
衇	mài	m	ai	4	mak6	m	ak	6
衈	èr		er	4	nei6	n	ei	6
衉	kā	k	a	1	haak3	h	aak	3
衊	miè	m	ie	4	mit6	m	it	6
衋	xì	x	i	4	sik1	s	ik	1
行	xíng	x	ing	2	hang4	h	ang	4
衍	yǎn	y	an	3	jin2	j	in	2
衎	kàn	k	an	4	hon3	h	on	3
衏	yuàn	y	uan	4	jyun2	j	yun	2
衐	qú	q	u	2	geoi6	g	eoi	6
衑	líng	l	ing	2	ling4	l	ing	4
衒	xuàn	x	uan	4	jyun6	j	yun	6
術	shù	sh	u	4	seot6	s	eot	6
衔	xián	x	ian	2	haam4	h	aam	4
衕	tòng	t	ong	4	tung4	t	ung	4
衖	xiàng	x	iang	4	hong6	h	ong	6
街	jiē	j	ie	1	gaai1	g	aai	1
衘	xián	x	ian	2	haam4	h	aam	4
衙	yá	y	a	2	ngaa4	ng	aa	4
衚	hú	h	u	2	wu4	w	u	4
衛	wèi	w	ei	4	wai6	w	ai	6
衜	dào	d	ao	4	dou6	d	ou	6
衝	chōng	ch	ong	1	cung1	c	ung	1
衞	wèi	w	ei	4	wai6	w	ai	6
衟	dào	d	ao	4	dou6	d	ou	6
衠	zhūn	zh	un	1	zeon1	z	eon	1
衡	héng	h	eng	2	hang4	h	ang	4
衢	qú	q	u	2	keoi4	k	eoi	4
衣	yī	y	i	1	ji1	j	i	1
衤	yī	y	i	1	ji1	j	i	1
补	bǔ	b	u	3	bou2	b	ou	2
衦	gǎn	g	an	3	gon2	g	on	2
衧	yú	y	u	2	jyu1	j	yu	1
表	biǎo	b	iao	3	biu2	b	iu	2
衩	chǎ	ch	a	3	caa3	c	aa	3
衫	shān	sh	an	1	saam1	s	aam	1
衬	chèn	ch	en	4	can3	c	an	3
衭	fū	f	u	1	fu1	f	u	1
衮	gǔn	g	un	3	gwan2	gw	an	2
衯	fēn	f	en	1	fan1	f	an	1
衰	shuāi	sh	uai	1	seoi1	s	eoi	1
衱	jié	j	ie	2	gip3	g	ip	3
衲	nà	n	a	4	naap6	n	aap	6
衳	zhōng	zh	ong	1	zung1	z	ung	1
衴	dǎn	d	an	3	dam2	d	am	2
衵	yì	y	i	4	nik1	n	ik	1
衶	zhòng	zh	ong	4	zung6	z	ung	6
衷	zhōng	zh	ong	1	zung1	z	ung	1
衸	jiè	j	ie	4	gaai3	g	aai	3
衹	zhǐ	zh	i	3	zi2	z	i	2
衺	xié	x	ie	2	ce4	c	e	4
衻	rán	r	an	2	jim4	j	im	4
衼	zhī	zh	i	1	zi1	z	i	1
衽	rèn	r	en	4	jam6	j	am	6
衾	qīn	q	in	1	kam1	k	am	1
衿	jīn	j	in	1	kam1	k	am	1
袀	jūn	j	un	1	gwan1	gw	an	1
袁	yuán	y	uan	2	jyun4	j	yun	4
