char	mandarin	mandarin_initial	mandarin_final	mandarin_tone	cantonese	cantonese_initial	cantonese_final	cantonese_tone
𠀁	qī	q	i	1	cat1	c	at	1
𠀅	hài	h	ai	4	hoi6	h	oi	6
𠀉	qiū	q	iu	1	jau1	j	au	1
𠀍	shì	sh	i	4	sai3	s	ai	3
𠁁	dòu	d	ou	4	doek3	d	oek	3
𠂆	yì	y	i	4	jai6	j	ai	6
𠂇	zuǒ	z	uo	3	zo2	z	o	2
𠂔	zǐ	z	i	3	zi2	z	i	2
𠂝	zā	z	a	1	zung3	z	ung	3
𠂢	pài	p	ai	4	paai3	p	aai	3
𠂤	duī	d	ui	1	deoi1	d	eoi	1
𠃌	gǔn	g	un	3	gwan2	gw	an	2
𠃓	yáng	y	ang	2	joeng4	j	oeng	4
𠄌	jué	j	ue	2	kyut3	k	yut	3
𠄣	gèn	g	en	4	gang2	g	ang	2
𠆌	yōng	y	ong	1	jung4	j	ung	4
𠆩	fàn	f	an	4	faan2	f	aan	2
𠆲	yǎn	y	an	3	kwong2	kw	ong	2
𠇱	mò	m	o	4	maai6	m	aai	6
𠇹	jìng	j	ing	4	ging3	g	ing	3
𠉂	tà	t	a	4	taat3	t	aat	3
𠊧	bìng	b	ing	4	bing3	b	ing	3
𠊷	zhì	zh	i	4	zi6	z	i	6
𠍽	shà	sh	a	4	ce2	c	e	2
𠓗	fù	f	u	4	fu3	f	u	3
𠔃	xī	x	i	1	hai4	h	ai	4
𠕁	cóng	c	ong	2	saan1	s	aan	1
𠕄	nà	n	a	4	nap1	n	ap	1
𠖥	chǒng	ch	ong	3	cung2	c	ung	2
𠗊	jìng	j	ing	4	ging6	g	ing	6
𠗦	píng	p	ing	2	pang4	p	ang	4
𠘕	xī	x	i	1	hei1	h	ei	1
𠙶	ǒu		ou	3	au2		au	2
𠚹	shàn	sh	an	4	saam1	s	aam	1
𠛅	kōu	k	ou	1	kau1	k	au	1
𠛪	tiāo	t	iao	1	tiu1	t	iu	1
𠜎	xiàn	x	ian	4	sin3	s	in	3
𠜱	pī	p	i	1	pai1	p	ai	1
𠜼	qiā	q	ia	1	haap3	h	aap	3
𠞭	lóu	l	ou	2	dau1	d	au	1
𠞰	jiǎo	j	iao	3	ziu2	z	iu	2
𠟍	chōng	ch	ong	1	cung1	c	ung	1
𠡠	chì	ch	i	4	loi6	l	oi	6
𠣕	jūn	j	un	1	gwan1	gw	an	1
𠤎	huà	h	ua	4	cat1	c	at	1
𠦌	xì	x	i	4	sei3	s	ei	3
𠧩	huì	h	ui	4	fui3	f	ui	3
𠩵	lì	l	i	4	lik6	l	ik	6
𠩺	xī	x	i	1	lei4	l	ei	4
𠪙	xǐ	x	i	3	jik6	j	ik	6
𠫭	cān	c	an	1	caam1	c	aam	1
𠬛	mò	m	o	4	mong4	m	ong	4
𠬝	fú	f	u	2	fuk6	f	uk	6
𠬢	tāo	t	ao	1	to1	t	o	1
𠬤	yì	y	i	4	jik6	j	ik	6
𠬶	jìn	j	in	4	cam1	c	am	1
𠭯	zhā	zh	a	1	zaa1	z	aa	1
𠮟	chì	ch	i	4	cik1	c	ik	1
𠮨	réng	r	eng	2	naai3	n	aai	3
𠮾	ǹ		n	4	ng6		ng	6
𠮿	sa	s	a	5	saan1	s	aan	1
𠯈	dài	d	ai	4	daai6	d	aai	6
𠯋	yǐ	y	i	3	jai5	j	ai	5
𠯑	guā	g	ua	1	gwat6	gw	at	6
𠯗	zā	z	a	1	saap3	s	aap	3
𠯟	xiàn	x	ian	4	jin6	j	in	6
𠯠	huī	h	ui	1	fai1	f	ai	1
𠰋	qiū	q	iu	1	jaau1	j	aau	1
𠰍	zhǔ	zh	u	3	zyu2	z	yu	2
𠰷	lú	l	u	2	lou4	l	ou	4
𠰺	dài	d	ai	4	doi6	d	oi	6
𠰻	wài	w	ai	4	ngoi6	ng	oi	6
𠱓	guǐ	g	ui	3	ngai1	ng	ai	1
𠱘	nì	n	i	4	ngaak6	ng	aak	6
𠱞	rǎn	r	an	3	caap3	c	aap	3
𠱥	è		e	4	fik1	f	ik	1
𠲍	diū	d	iu	1	diu1	d	iu	1
𠲖	yī	y	i	1	ji1	j	i	1
𠲜	zhēng	zh	eng	1	zaang1	z	aang	1
𠲵	qiè	q	ie	4	gip3	g	ip	3
𠲿	shuò	sh	uo	4	sok3	s	ok	3
𠳁	kěn	k	en	3	kwan3	kw	an	3
𠳭	kè	k	e	4	hak1	h	ak	1
𠳿	wēi	w	ei	1	mei5	m	ei	5
𠴨	guān	g	uan	1	gwaan1	gw	aan	1
𠴰	ǒu		ou	3	gau6	g	au	6
𠴱	hú	h	u	2	wu4	w	u	4
𠴲	tà	t	a	4	daap6	d	aap	6
𠵦	wǔ	w	u	3	ng5		ng	5
𠵩	hē	h	e	1	go2	g	o	2
𠵯	guā	g	ua	1	gwit1	gw	it	1
𠵼	mèng	m	eng	4	mang1	m	ang	1
𠵾	huò	h	uo	4	waak1	w	aak	1
𠶧	diān	d	ian	1	dim6	d	im	6
𠶲	kè	k	e	4	gap6	g	ap	6
𠷈	lǜ	l	u	4	leot6	l	eot	6
𠷿	zǎ	z	a	3	zaa3	z	aa	3
𠸄	yīng	y	ing	1	jing1	j	ing	1
𠸺	nì	n	i	4	ngaak6	ng	aak	6
𠺘	làng	l	ang	4	long2	l	ong	2
𠺝	gē	g	e	1	gaak3	g	aak	3
𠻗	lí	l	i	2	le4	l	e	4
𠻝	shēn	sh	en	1	caam1	c	aam	1
𠻴	lǎng	l	ang	3	long2	l	ong	2
𠼗	zàn	z	an	4	zaam2	z	aam	2
𠼝	lí	l	i	2	lei4	l	ei	4
𠼻	jī	j	i	1	gi1	g	i	1
𠾏	shē	sh	e	1	ce1	c	e	1
𠾐	lóng	l	ong	2	lung4	l	ung	4
𠿟	wò	w	o	4	ak1		ak	1
𡀔	lù	l	u	4	lou6	l	ou	6
𡂖	lài	l	ai	4	lai2	l	ai	2
𡂝	dòu	d	ou	4	zuk6	z	uk	6
𡄟	há	h	a	2	haa1	h	aa	1
𡄡	zhe	zh	e	5	zaai1	z	aai	1
𡄵	yī	y	i	1	ji1	j	i	1
𡄻	yì	y	i	4	ji3	j	i	3
𡈎	wū	w	u	1	mui4	m	ui	4
𡈙	yóu	y	ou	2	ngo4	ng	o	4
𡈛	yuān	y	uan	1	waan1	w	aan	1
𡈼	tǐng	t	ing	3	ting2	t	ing	2
𡉄	zài	z	ai	4	gaa2	g	aa	2
𡊑	xǐ	x	i	3	saai2	s	aai	2
𡊨	tán	t	an	2	jyun4	j	yun	4
𡋤	jìn	j	in	4	zeon6	z	eon	6
𡍮	chuí	ch	ui	2	seoi4	s	eoi	4
𡍶	zhì	zh	i	4	zi6	z	i	6
𡎘	yīng	y	ing	1	jing1	j	ing	1
𡏭	jiāo	j	iao	1	hiu1	h	iu	1
𡐓	kāng	k	ang	1	hong1	h	ong	1
𡐖	xiàn	x	ian	4	haam5	h	aam	5
𡐤	qiè	q	ie	4	kit3	k	it	3
𡐿	dā	d	a	1	daat6	d	aat	6
𡑞	suì	s	ui	4	seoi6	s	eoi	6
𡑯	jiǎn	j	ian	3	gaan2	g	aan	2
𡒃	yù	y	u	4	juk1	j	uk	1
𡒄	lǎn	l	an	3	lam5	l	am	5
𡒊	yù	y	u	4	jyu6	j	yu	6
𡕰	zōng	z	ong	1	zung1	z	ung	1
𡗤	guì	g	ui	4	kiu4	k	iu	4
𡚁	bì	b	i	4	bai6	b	ai	6
𡛟	yuè	y	ue	4	jyut6	j	yut	6
𡜦	huì	h	ui	4	wai3	w	ai	3
𡜱	jì	j	i	4	gei2	g	ei	2
𡞫	nài	n	ai	4	noi6	n	oi	6
𡞾	nèn	n	en	4	nyun6	n	yun	6
𡟟	cōng	c	ong	1	cung1	c	ung	1
𡟬	miè	m	ie	4	mit6	m	it	6
𡟯	ēn		en	1	jan1	j	an	1
𡠜	mó	m	o	2	mo4	m	o	4
𡠟	zhú	zh	u	2	zuk1	z	uk	1
𡠹	zhì	zh	i	4	daai3	d	aai	3
𡡀	juàn	j	uan	4	gyun3	g	yun	3
𡡒	sī	s	i	1	si1	s	i	1
𡢘	yùn	y	un	4	jan6	j	an	6
𡤢	luó	l	uo	2	lo4	l	o	4
𡥧	jìn	j	in	4	laai1	l	aai	1
𡩣	jié	j	ie	2	git6	g	it	6
𡰪	dū	d	u	1	duk1	d	uk	1
𡲕	tì	t	i	4	tai3	t	ai	3
𡴎	niè	n	ie	4	jit3	j	it	3
𡵓	hóng	h	ong	2	wang4	w	ang	4
𡵝	zōng	z	ong	1	zung1	z	ung	1
𡵞	fēng	f	eng	1	fung1	f	ung	1
𡶐	qié	q	ie	2	ke4	k	e	4
𡶴	chǎn	ch	an	3	caan2	c	aan	2
𡸜	zhí	zh	i	2	zik6	z	ik	6
𡸣	niè	n	ie	4	jit6	j	it	6
𡺃	qiāng	q	iang	1	coeng1	c	oeng	1
𡻈	zhēn	zh	en	1	ceon4	c	eon	4
𡻕	suì	s	ui	4	seoi3	s	eoi	3
𡿧	zāi	z	ai	1	zi1	z	i	1
𡿨	quǎn	q	uan	3	hyun2	h	yun	2
𡿺	nǎo	n	ao	3	no5	n	o	5
𢀖	jīng	j	ing	1	ging1	g	ing	1
𢁾	chāo	ch	ao	1	ciu1	c	iu	1
𢂑	shì	sh	i	4	sik1	s	ik	1
𢅏	lián	l	ian	2	lim4	l	im	4
𢅖	lián	l	ian	2	lim4	l	im	4
𢅥	chú	ch	u	2	cyu4	c	yu	4
𢅺	zhǎn	zh	an	3	zin2	z	in	2
𢆞	jiǎn	j	ian	3	gin2	g	in	2
𢇇	guān	g	uan	1	gwaan1	gw	aan	1
𢈈	kē	k	e	1	nap1	n	ap	1
𢊍	chú	ch	u	2	cyu4	c	yu	4
𢋈	sū	s	u	1	sou1	s	ou	1
𢍿	zāng	z	ang	1	coeng4	c	oeng	4
𢒰	yù	y	u	4	juk1	j	uk	1
𢕔	zhāng	zh	ang	1	zoeng1	z	oeng	1
𢖗	sǒng	s	ong	3	sung2	s	ung	2
𢘅	mào	m	ao	4	maau4	m	aau	4
𢙐	náo	n	ao	2	nung4	n	ung	4
𢙒	xiāo	x	iao	1	hiu1	h	iu	1
𢙓	wèi	w	ei	4	wai3	w	ai	3
𢙱	lòng	l	ong	4	lung6	l	ung	6
𢙺	zhì	zh	i	4	zi3	z	i	3
𢛯	huò	h	uo	4	waak6	w	aak	6
𢜪	nuò	n	uo	4	nok6	n	ok	6
𢜫	xǐng	x	ing	3	sing1	s	ing	1
𢞖	tì	t	i	4	tai3	t	ai	3
𢟼	méng	m	eng	2	mung1	m	ung	1
𢠳	biē	b	ie	1	pit3	p	it	3
𢠵	tǎng	t	ang	3	cong2	c	ong	2
𢣏	ài		ai	4	oi3		oi	3
𢥏	yíng	y	ing	2	jing4	j	ing	4
𢥘	xié	x	ie	2	kwai4	kw	ai	4
𢥞	chōng	ch	ong	1	tung4	t	ung	4
𢧐	zhàn	zh	an	4	zin3	z	in	3
𢩦	jī	j	i	1	zit1	z	it	1
𢪓	yú	y	u	2	geoi2	g	eoi	2
𢫓	nǔ	n	u	3	nou5	n	ou	5
𢫘	lú	l	u	2	lou4	l	ou	4
𢫨	rǒng	r	ong	3	ngung2	ng	ung	2
𢫫	lù	l	u	4	lat1	l	at	1
𢫬	sà	s	a	4	saat3	s	aat	3
𢬍	yè	y	e	4	jip3	j	ip	3
𢬿	xiè	x	ie	4	kaai2	k	aai	2
𢭃	duǎn	d	uan	3	dau6	d	au	6
𢭆	chōu	ch	ou	1	cau1	c	au	1
𢭏	dǎo	d	ao	3	dou2	d	ou	2
𢯲	wàn	w	an	4	wun2	w	un	2
𢱌	jià	j	ia	4	gaa3	g	aa	3
𢱟	chǎn	ch	an	3	sin1	s	in	1
𢱢	suǒ	s	uo	3	saak3	s	aak	3
𢲵	zào	z	ao	4	cou5	c	ou	5
𢲷	sōu	s	ou	1	ngaau1	ng	aau	1
𢲸	lǔ	l	u	3	lou1	l	ou	1
𢳆	ào		ao	4	ngou4	ng	ou	4
𢳟	tǒng	t	ong	3	tung2	t	ung	2
𢶀	zhuài	zh	uai	4	jit6	j	it	6
𢶅	shé	sh	e	2	sip3	s	ip	3
𢶍	zá	z	a	2	saap3	s	aap	3
𢶣	dié	d	ie	2	dip6	d	ip	6
𢸁	gǒng	g	ong	3	geoi2	g	eoi	2
𢹑	zhèng	zh	eng	4	zaang6	z	aang	6
𢺞	bǎ	b	a	3	baa6	b	aa	6
𢼸	wēi	w	ei	1	mei4	m	ei	4
𢽾	xiào	x	iao	4	haau6	h	aau	6
𢿌	xiòng	x	iong	4	hing3	h	ing	3
𢿣	qiāo	q	iao	1	hiu1	h	iu	1
𣀳	niè	n	ie	4	nip6	n	ip	6
𣁦	pán	p	an	2	pun4	p	un	4
𣃁	zhú	zh	u	2	zuk1	z	uk	1
𣃈	zhuó	zh	uo	2	zyu3	z	yu	3
𣆐	lú	l	u	2	lou4	l	ou	4
𣆳	gěng	g	eng	3	gang2	g	ang	2
𣇨	dài	d	ai	4	doi6	d	oi	6
𣈥	tú	t	u	2	tou1	t	ou	1
𣈶	gèng	g	eng	4	hyun1	h	yun	1
𣌟	líng	l	ing	2	ling4	l	ing	4
𣍯	yùn	y	un	4	wan6	w	an	6
𣍰	qiǎn	q	ian	3	him2	h	im	2
𣎑	kuān	k	uan	1	fun1	f	un	1
𣎴	dǔn	d	un	3	dan2	d	an	2
𣏞	yóu	y	ou	2	jau4	j	au	4
𣏢	tuán	t	uan	2	tyun4	t	yun	4
𣏺	kǒng	k	ong	3	hung2	h	ung	2
𣐕	jìng	j	ing	4	ging3	g	ing	3
𣐤	jiu	j	iu	5	kau5	k	au	5
𣐿	yī	y	i	1	ji1	j	i	1
𣑁	chòng	ch	ong	4	cung1	c	ung	1
𣑝	tuán	t	uan	2	tyun4	t	yun	4
𣒌	guō	g	uo	1	gwo2	gw	o	2
𣒗	què	q	ue	4	hat6	h	at	6
𣓌	gāo	g	ao	1	gou1	g	ou	1
𣓿	lào	l	ao	4	lou6	l	ou	6
𣔙	xiān	x	ian	1	him1	h	im	1
𣔼	gān	g	an	1	gon1	g	on	1
𣕲	héng	h	eng	2	gang2	g	ang	2
𣖻	hǎi	h	ai	3	hoi2	h	oi	2
𣗊	mán	m	an	2	mun4	m	un	4
𣗋	dǎng	d	ang	3	dong2	d	ong	2
𣘗	nì	n	i	4	nik1	n	ik	1
𣘚	shuài	sh	uai	4	seot1	s	eot	1
𣘴	yín	y	in	2	ngan4	ng	an	4
𣙟	táng	t	ang	2	soeng4	s	oeng	4
𣙷	máng	m	ang	2	mong5	m	ong	5
𣚎	léi	l	ei	2	leoi4	l	eoi	4
𣚕	yè	y	e	4	jaap3	j	aap	3
𣚚	zhú	zh	u	2	zuk1	z	uk	1
𣜭	jiǎn	j	ian	3	zin2	z	in	2
𣟄	tuò	t	uo	4	tok3	t	ok	3
𣟴	shuān	sh	uan	1	saan1	s	aan	1
𣠺	qiè	q	ie	4	cip3	c	ip	3
𣦵	è		e	4	daai2	d	aai	2
𣧂	tì	t	i	4	laai5	l	aai	5
𣨼	tì	t	i	4	tai3	t	ai	3
𣪕	guǐ	g	ui	3	gwai2	gw	ai	2
𣪠	jī	j	i	1	gik1	g	ik	1
𣬚	pò	p	o	4	paak3	p	aak	3
𣭲	rǒng	r	ong	3	jung2	j	ung	2
𣯶	sān	s	an	1	saam1	s	aam	1
𣰇	rǒng	r	ong	3	jung5	j	ung	5
𣱝	dōng	d	ong	1	dung1	d	ung	1
𣲗	wéi	w	ei	2	wai4	w	ai	4
𣲘	wǔ	w	u	3	mou5	m	ou	5
𣲵	zhǐ	zh	i	3	zi2	z	i	2
𣲷	nì	n	i	4	nap6	n	ap	6
𣳆	píng	p	ing	2	pang4	p	ang	4
𣶏	jiē	j	ie	1	zip3	z	ip	3
𣶩	huà	h	ua	4	waa6	w	aa	6
𣸆	zǐ	z	i	3	ci2	c	i	2
𣸣	fén	f	en	2	fan4	f	an	4
𣺼	dǎng	d	ang	3	dong2	d	ong	2
𣽉	rú	r	u	2	jyu4	j	yu	4
𣽡	bó	b	o	2	bok3	b	ok	3
𣽷	sì	s	i	4	ci3	c	i	3
𣿅	dǒng	d	ong	3	dung2	d	ung	2
𤁳	zhá	zh	a	2	zaap3	z	aap	3
𤄏	hóng	h	ong	2	hung4	h	ung	4
𤆍	chì	ch	i	4	cek3	c	ek	3
𤆡	wǔ	w	u	3	wat1	w	at	1
𤆢	lún	l	un	2	leon4	l	eon	4
𤆵	pā	p	a	1	baa1	b	aa	1
𤇃	lì	l	i	4	lai6	l	ai	6
𤇄	shǎn	sh	an	3	sim3	s	im	3
𤇭	lóng	l	ong	2	lung4	l	ung	4
𤇾	yìng	y	ing	4	jing4	j	ing	4
𤈶	yún	y	un	2	jyun4	j	yun	4
𤊿	chè	ch	e	4	cip3	c	ip	3
𤋏	lóu	l	ou	2	lau4	l	au	4
𤌍	hú	h	u	2	hok3	h	ok	3
𤍐	tuì	t	ui	4	teoi3	t	eoi	3
𤍕	yǒu	y	ou	3	jau4	j	au	4
𤍠	rè	r	e	4	jit6	j	it	6
𤍤	zhāng	zh	ang	1	zoeng1	z	oeng	1
𤎻	xiāo	x	iao	1	siu1	s	iu	1
𤏲	zhòu	zh	ou	4	zoek6	z	oek	6
𤏶	āo		ao	1	ou1		ou	1
𤏸	zhuó	zh	uo	2	zyu3	z	yu	3
𤑕	xūn	x	un	1	fan1	f	an	1
𤑳	xiāo	x	iao	1	siu1	s	iu	1
𤕭	jiāng	j	iang	1	zoeng1	z	oeng	1
𤕯	jiāng	j	iang	1	zoeng1	z	oeng	1
𤗈	xiè	x	ie	4	sip3	s	ip	3
𤘘	kǒu	k	ou	3	hau2	h	au	2
𤙴	chāo	ch	ao	1	caau1	c	aau	1
𤛘	māng	m	ang	1	mong1	m	ong	1
𤜯	chā	ch	a	1	kap6	k	ap	6
𤝬	dǐ	d	i	3	dai2	d	ai	2
𤞃	huì	h	ui	4	wai3	w	ai	3
𤞤	xiǎn	x	ian	3	him2	h	im	2
𤟠	xū	x	u	1	seoi1	s	eoi	1
𤟥	tí	t	i	2	tai4	t	ai	4
𤢂	sù	s	u	4	suk1	s	uk	1
𤢕	duó	d	uo	2	dou3	d	ou	3
𤢪	liè	l	ie	4	lip6	l	ip	6
𤣰	bǔ	b	u	3	bou2	b	ou	2
𤣲	xìn	x	in	4	seon3	s	eon	3
𤣻	mò	m	o	4	mut6	m	ut	6
𤥗	liú	l	iu	2	lau4	l	au	4
𤥿	yì	y	i	4	jik6	j	ik	6
𤦀	mí	m	i	2	mei4	m	ei	4
𤦤	ní	n	i	2	ji4	j	i	4
𤧚	cōng	c	ong	1	cung1	c	ung	1
𤧣	jiàn	j	ian	4	gin3	g	in	3
𤧭	páng	p	ang	2	pong4	p	ong	4
𤨎	qú	q	u	2	keoi4	k	eoi	4
𤩂	láo	l	ao	2	lou4	l	ou	4
𤩱	diàn	d	ian	4	din6	d	in	6
𤩽	huán	h	uan	2	wun4	w	un	4
𤪌	qí	q	i	2	kei4	k	ei	4
𤫩	líng	l	ing	2	ling4	l	ing	4
𤭛	gāng	g	ang	1	gong1	g	ong	1
𤰝	quǎn	q	uan	3	gyun2	g	yun	2
𤰡	máng	m	ang	2	man4	m	an	4
𤱝	tuǎn	t	uan	3	teon2	t	eon	2
𤳈	shāng	sh	ang	1	soeng1	s	oeng	1
𤳉	hàn	h	an	4	hon3	h	on	3
𤴓	yǎ	y	a	3	zing3	z	ing	3
𤴯	huàn	h	uan	4	waan6	w	aan	6
𤵐	wù	w	u	4	ng6		ng	6
𤶊	guì	g	ui	4	gui6	g	ui	6
𤷇	xù	x	u	4	wak6	w	ak	6
𤷽	què	q	ue	4	koek3	k	oek	3
𤸅	mín	m	in	2	man4	m	an	4
𤸻	nà	n	a	4	naa1	n	aa	1
𤺺	dǎn	d	an	3	taan1	t	aan	1
𤻊	tuí	t	ui	2	teoi4	t	eoi	4
𤻘	yǐn	y	in	3	jan5	j	an	5
𤾀	zé	z	e	2	caak3	c	aak	3
𤿲	fū	f	u	1	fu1	f	u	1
𥀬	yǎn	y	an	3	jim2	j	im	2
𥁑	mì	m	i	4	mat6	m	at	6
𥁒	yào	y	ao	4	ngaau4	ng	aau	4
𥁕	wēn	w	en	1	wan1	w	an	1
𥁢	qiáo	q	iao	2	kiu4	k	iu	4
𥂁	yán	y	an	2	jim4	j	im	4
𥄎	xuè	x	ue	4	cik1	c	ik	1
𥄨	chǒu	ch	ou	3	cau2	c	au	2
𥅟	jiǎo	j	iao	3	ngaau1	ng	aau	1
𥅠	hòu	h	ou	4	hau1	h	au	1
𥅴	jié	j	ie	2	gap6	g	ap	6
𥆧	rún	r	un	2	seon4	s	eon	4
𥇍	zhuó	zh	uo	2	coek3	c	oek	3
𥇢	zhǎn	zh	an	3	zaam2	z	aam	2
𥈟	sǒu	s	ou	3	sau2	s	au	2
𥉐	qī	q	i	1	hai5	h	ai	5
𥊒	fèng	f	eng	4	fung1	f	ung	1
𥋟	xī	x	i	1	hei1	h	ei	1
𥌛	lí	l	i	2	lai6	l	ai	6
𥎊	qín	q	in	2	kan4	k	an	4
𥎝	zuǎn	z	uan	3	zyun2	z	yun	2
𥐘	shí	sh	i	2	sek6	s	ek	6
𥐙	pā	p	a	1	paat3	p	aat	3
𥐞	máng	m	ang	2	mong4	m	ong	4
𥐟	chāi	ch	ai	1	ngai5	ng	ai	5
𥐻	náo	n	ao	2	gong1	g	ong	1
𥑢	bù	b	u	4	bo3	b	o	3
𥑪	náo	n	ao	2	naau4	n	aau	4
𥓿	tuó	t	uo	2	to4	t	o	4
𥔀	hōng	h	ong	1	gwang1	gw	ang	1
𥔱	shàn	sh	an	4	sin3	s	in	3
𥕢	cáo	c	ao	2	cou4	c	ou	4
𥕤	kē	k	e	1	hap6	h	ap	6
𥕦	gǔn	g	un	3	gwan2	gw	an	2
𥛱	bēng	b	eng	1	bang1	b	ang	1
𥜌	ǎo		ao	3	ou3		ou	3
𥜥	yì	y	i	4	zi6	z	i	6
𥝢	lì	l	i	4	lei6	l	ei	6
𥞛	duò	d	uo	4	do6	d	o	6
𥟂	lái	l	ai	2	loi4	l	oi	4
𥡝	jiān	j	ian	1	gim1	g	im	1
𥢢	tuí	t	ui	2	teoi4	t	eoi	4
𥣈	pú	p	u	2	buk6	b	uk	6
𥥅	kǒng	k	ong	3	lung1	l	ung	1
𥩔	líng	l	ing	2	ling4	l	ing	4
𥪯	yào	y	ao	4	jiu4	j	iu	4
𥫱	dùn	d	un	4	deon6	d	eon	6
𥬀	yún	y	un	2	wan4	w	an	4
𥬈	mǎn	m	an	3	cung1	c	ung	1
𥬞	niè	n	ie	4	nip6	n	ip	6
𥬠	chōu	ch	ou	1	cau1	c	au	1
𥮜	mí	m	i	2	nei4	n	ei	4
𥮾	cǎn	c	an	3	caam2	c	aam	2
𥯤	wěi	w	ei	3	wai5	w	ai	5
𥯨	sī	s	i	1	si1	s	i	1
𥰡	cè	c	e	4	caak3	c	aak	3
𥱼	pái	p	ai	2	paai4	p	aai	4
𥲑	mán	m	an	2	maan4	m	aan	4
𥳍	xún	x	un	2	taam4	t	aam	4
𥴦	suì	s	ui	4	dek6	d	ek	6
𥴧	jǔ	j	u	3	keoi4	k	eoi	4
𥵜	pò	p	o	4	pok3	p	ok	3
𥶹	jìng	j	ing	4	zing6	z	ing	6
𥹉	nà	n	a	4	nap6	n	ap	6
𥺅	dào	d	ao	4	dou6	d	ou	6
𥻗	chá	ch	a	2	caa4	c	aa	4
𥻿	lí	l	i	2	ci1	c	i	1
𥼚	zhuō	zh	uo	1	zoek3	z	oek	3
𥽘	mò	m	o	4	mut6	m	ut	6
𦀇	jīng	j	ing	1	ging1	g	ing	1
𦀡	yǔ	y	u	3	jyu5	j	yu	5
𦁈	kòng	k	ong	4	hung3	h	ung	3
𦂗	shuò	sh	uo	4	sok3	s	ok	3
𦄂	dài	d	ai	4	daai3	d	aai	3
𦆟	méng	m	eng	2	mung4	m	ung	4
𦈉	yùn	y	un	4	wan6	w	an	6
𦈋	xiǔ	x	iu	3	sau2	s	au	2
𦈌	shū	sh	u	1	so1	s	o	1
𦈎	chǎn	ch	an	3	taan4	t	aan	4
𦈏	mín	m	in	2	man4	m	an	4
𦈐	lián	l	ian	2	lin4	l	in	4
𦈑	yīn	y	in	1	jan1	j	an	1
𦈓	wēi	w	ei	1	wui1	w	ui	1
𦈔	gǔ	g	u	3	gwat1	gw	at	1
𦈖	tā	t	a	1	taap3	t	aap	3
𦈘	dā	d	a	1	daap3	d	aap	3
𦈚	cù	c	u	4	zuk1	z	uk	1
𦈛	zuǒ	z	uo	3	dyut3	d	yut	3
𦈝	xuàn	x	uan	4	syun3	s	yun	3
𦈟	jīn	j	in	1	gam1	g	am	1
𦈠	yǐn	y	in	3	jan5	j	an	5
𦈡	xū	x	u	1	seoi1	s	eoi	1
𦉆	chá	ch	a	2	caa4	c	aa	4
𦍌	rèn	r	en	4	jam5	j	am	5
𦍠	lì	l	i	4	lik6	l	ik	6
𦍩	gǔ	g	u	3	gu2	g	u	2
𦏸	yì	y	i	4	jai6	j	ai	6
𦐇	tà	t	a	4	taap3	t	aap	3
𦐈	fēn	f	en	1	fan1	f	an	1
𦒈	shī	sh	i	1	si1	s	i	1
𦒍	tóng	t	ong	2	tung4	t	ung	4
𦒜	xiān	x	ian	1	zin1	z	in	1
𦔮	zhé	zh	e	2	zip3	z	ip	3
𦕒	diān	d	ian	1	zim1	z	im	1
𦖿	dā	d	a	1	dap1	d	ap	1
𦗀	tián	t	ian	2	zan3	z	an	3
𦘒	niè	n	ie	4	nip6	n	ip	6
𦘩	pǐ	p	i	3	paa4	p	aa	4
𦙵	wàn	w	an	4	wun2	w	un	2
𦙶	gǔ	g	u	3	gu2	g	u	2
𦚓	píng	p	ing	2	ping4	p	ing	4
𦚧	chǔn	ch	un	3	ceon2	c	eon	2
𦛚	nàn	n	an	4	nam6	n	am	6
𦛨	láo	l	ao	2	lou4	l	ou	4
𦜖	yà	y	a	4	ngaa6	ng	aa	6
𦝼	lǘ	l	u	2	leoi4	l	eoi	4
𦞙	huǐ	h	ui	3	deoi2	d	eoi	2
𦞣	sāo	s	ao	1	sou1	s	ou	1
𦟤	xiū	x	iu	1	sau1	s	au	1
𦠜	yè	y	e	4	jip6	j	ip	6
𦡆	kū	k	u	1	fat1	f	at	1
𦢊	báo	b	ao	2	pok1	p	ok	1
𦣇	luó	l	uo	2	lo1	l	o	1
𦤎	gāo	g	ao	1	gou1	g	ou	1
𦤦	hài	h	ai	4	hot3	h	ot	3
𦥑	jú	j	u	2	guk1	g	uk	1
𦥯	xué	x	ue	2	hok6	h	ok	6
𦧡	yǎn	y	an	3	daam6	d	aam	6
𦨭	pí	p	i	2	pei4	p	ei	4
𦨴	tóng	t	ong	2	tung4	t	ung	4
𦪈	áo		ao	2	ngou3	ng	ou	3
𦬅	kōu	k	ou	1	kau1	k	au	1
𦬕	zhōng	zh	ong	1	zung1	z	ung	1
𦬣	wǎng	w	ang	3	mong5	m	ong	5
𦭵	yáng	y	ang	2	joeng4	j	oeng	4
𦯀	bèn	b	en	4	ban6	b	an	6
𦰏	diào	d	iao	4	diu6	d	iu	6
𦰡	nà	n	a	4	naa5	n	aa	5
𦱀	yù	y	u	4	juk6	j	uk	6
𦱁	xián	x	ian	2	jin4	j	in	4
𦱔	bì	b	i	4	bei1	b	ei	1
𦳃	xié	x	ie	2	ce4	c	e	4
𦳑	mǒu	m	ou	3	mau5	m	au	5
𦵴	jié	j	ie	2	git6	g	it	6
𦷝	chú	ch	u	2	co1	c	o	1
𦺙	lí	l	i	2	lai4	l	ai	4
